,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
45,Devon Dotson,CLE,10,31.4,13.0,4.9,10.5,0.467,0.9,3.3,0.273,1.4,1.7,0.8240000000000001,0.9,2.9,3.8,5.6,1.4,0.2,1.9,2.4,0.578,0.51,156.3,3.2,9.9,6.6,26.7,14.5,2.3,0.5,19.0,6.1,1.2,112.3,117.0,-4.8,116.6,16.5,0.264,2.9,0.7,0.2,4,6,0.4,0.4,0.1,0.5
46,Jeff Dowtin,LAK,15,19.8,6.5,2.7,5.7,0.48200000000000004,0.5,0.9,0.5,0.4,0.4,1.0,0.4,1.2,1.6,2.5,0.9,0.1,0.9,1.1,0.5589999999999999,0.524,198.2,2.1,6.0,4.2,18.6,13.8,2.2,0.6,15.1,3.7,1.2,109.0,108.9,0.1,81.5,12.9,0.133,2.6,0.9,0.1,9,6,0.6,0.2,0.4,0.6
47,Paul Eboua,LIN,10,12.2,2.9,0.8,2.9,0.276,0.1,0.9,0.111,0.7,1.1,0.636,1.1,1.6,2.7,0.6,0.0,0.3,0.9,2.2,0.428,0.293,102.3,9.5,13.8,11.7,6.8,21.0,0.0,2.3,15.3,-4.1,1.0,78.5,117.4,-38.9,15.1,3.0,0.037000000000000005,0.7,0.0,0.4,5,5,0.5,-0.3,0.0,-0.2
48,Rob Edwards,OKL,15,21.3,12.5,4.3,10.3,0.413,2.7,6.1,0.44,0.9,1.1,0.8240000000000001,0.3,3.1,3.4,1.5,0.5,0.1,0.9,1.4,0.575,0.542,167.6,1.6,13.2,7.6,10.3,7.9,1.2,0.5,22.4,0.4,1.2,114.4,111.8,2.7,112.4,15.6,0.134,1.6,0.6,0.1,8,7,0.5329999999999999,0.5,0.3,0.8
49,Vince Edwards,OKL,11,17.1,7.4,2.6,6.9,0.382,1.5,4.7,0.327,0.4,0.5,0.8,0.3,2.4,2.6,0.8,0.5,0.1,0.9,1.0,0.518,0.493,150.9,1.6,12.3,7.3,6.8,11.3,1.5,0.4,19.3,-2.1,1.1,98.7,110.7,-12.0,45.1,9.9,0.083,0.9,0.6,0.1,5,6,0.455,-0.1,0.2,0.1
50,Henry Ellenson,RAP,15,30.6,21.2,7.1,14.5,0.493,3.5,8.3,0.424,2.0,2.3,0.882,2.0,6.2,8.2,2.3,0.5,0.5,1.9,2.2,0.685,0.615,179.9,7.2,21.2,14.3,11.0,10.8,0.7,1.5,23.9,-1.0,1.5,122.9,115.2,7.7,246.8,22.6,0.21100000000000002,1.3,0.3,0.2,12,3,0.8,1.3,0.2,1.5
51,Aaron Epps,CLE,12,15.0,5.7,2.2,5.2,0.419,0.9,2.9,0.314,0.3,0.5,0.5,1.0,3.8,4.8,0.1,0.4,0.7,0.6,1.7,0.526,0.508,123.4,7.0,27.1,16.9,0.8,9.8,1.4,3.8,17.6,-3.6,1.1,99.2,112.2,-13.0,62.0,13.9,0.057,0.1,0.7,0.1,3,9,0.25,0.0,0.2,0.1
52,Jacob Evans,SCW,4,21.4,11.0,4.3,8.3,0.515,1.5,4.0,0.375,0.8,0.8,1.0,1.0,3.5,4.5,2.3,0.3,0.0,0.5,1.0,0.6409999999999999,0.606,189.0,5.7,15.9,11.4,17.0,5.5,0.6,0.0,19.6,4.9,1.3,130.1,110.1,20.0,38.6,21.1,0.16699999999999998,4.5,0.5,0.1,3,1,0.75,0.3,0.1,0.4
53,Yogi Ferrell,SLC,14,28.3,15.4,5.6,12.4,0.44799999999999995,2.2,5.7,0.38799999999999996,1.2,1.2,1.0,0.4,2.3,2.7,4.0,1.3,0.1,2.2,1.9,0.595,0.537,183.6,1.5,9.4,5.2,25.4,14.6,2.3,0.5,24.4,1.7,1.2,105.8,112.4,-6.6,141.1,17.5,0.264,1.8,0.6,0.1,4,10,0.28600000000000003,0.2,0.3,0.6
54,Malik Fitts,ACC,14,26.3,11.1,4.2,9.0,0.46799999999999997,1.1,3.3,0.348,1.1,1.1,0.938,0.5,3.5,4.0,1.4,0.4,0.2,1.4,2.4,0.583,0.532,175.4,2.0,14.5,8.1,8.4,12.5,0.7,0.7,18.0,-1.6,1.2,106.6,115.0,-8.4,90.8,12.1,0.145,1.1,0.3,0.1,5,9,0.35700000000000004,0.2,0.2,0.4
